,best_epoch_mean,best_epoch_std,best_test_loss_mean,best_test_loss_std,datasetname,model,n_normflows,percent,test_error_rate_mean,test_error_rate_std,test_measures
212,115.4,201.869859068,9.03736258201,1.05012390884,concrete,baselineplus,8,0.25,20.2192090988,2.91333979492,best_val_loss
213,71.0,127.718440329,16.1976952611,1.42617580106,concrete,baselineplus,20,0.25,104.085731506,12.1969427707,best_val_loss
214,38.6,62.4230726575,5.69582015473,0.680793640356,concrete,baselineplus,1,0.5,7.74241485596,1.31927086761,best_val_loss
215,124.7,225.842445081,3.98385419506,0.449441831224,concrete,baselineplus,2,0.5,inf,,best_val_loss
216,77.5,117.117248943,5.14305643125,0.413049300514,concrete,baselineplus,3,0.5,29.6224380493,8.8588682843,best_val_loss
217,130.4,262.120659239,6.86654243346,1.08888998041,concrete,baselineplus,4,0.5,17.8046621323,0.833060015379,best_val_loss
218,42.1,82.5305398019,34.0655231957,4.96854853055,concrete,baselineplus,8,0.5,9.21100916862,1.90121235132,best_val_loss
219,113.8,195.277648491,10.6959013707,0.640065240163,concrete,baselineplus,20,0.5,inf,,best_val_loss
220,119.2,233.67704209,6.52995914101,0.400447390887,concrete,baselineplus,1,1.0,17.934170723,0.628006167965,best_val_loss
221,103.0,172.034880184,4.08449498272,0.159126301366,concrete,baselineplus,2,1.0,inf,,best_val_loss
222,55.3,84.9565182902,5.10741580605,0.429259779837,concrete,baselineplus,3,1.0,31.3148622513,7.80347722924,best_val_loss
223,39.7,70.9704868237,9.55139732978,0.208573305806,concrete,baselineplus,4,1.0,inf,,best_val_loss
224,119.8,217.507149308,6.41160992866,0.507625064697,concrete,baselineplus,8,1.0,inf,,best_val_loss
225,61.5,82.6259644422,18.140100789,1.0413474477,concrete,baselineplus,20,1.0,inf,,best_val_loss
226,47.4,93.1527777364,4.16800970923,0.616624136172,concrete,planarflow,1,0.25,7.98261156082,1.86533241502,best_val_loss
227,74.7,92.4814035361,49.4301002577,14.0375508764,concrete,planarflow,2,0.25,17.3887522697,1.17779278247,best_val_loss
