,batch_size,best_val_error,best_val_loss,datasetname,minus_log_s1,modelname,n_normflows,opt_decay,opt_identifier,opt_momentum,opt_offset,opt_step_rate
178,10,0.592890739441,-1.30843654088,energy,1,radialflowdet,8,0.9571221857,adam,0.000989787180952,0.000180066970598,0.001
179,1,inf,168964.240402,energy,2,radialflowdet,20,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
180,1,2.78212380409,2.47049097788,energy,2,baseline,1,0.913693958598,adam,0.830267154644,0.000266786880691,0.001
181,1,2.3149766922,3.04026803415,energy,1,baseline,2,0.802574888412,adam,0.00170506295622,0.00016183592544,0.0001
182,10,2.45500254631,2.3592151578,energy,2,baseline,3,0.801062959819,adam,0.00621770522485,0.000133685560718,0.001
183,10,2.26536250114,6.56170238938,energy,3,baseline,4,0.963117866824,adam,0.868062801426,0.00013342121064,0.001
184,10,2.36155605316,2.81099763598,energy,1,baseline,8,0.9571221857,adam,0.000989787180952,0.000180066970598,0.001
185,1,2.98590159416,2.70406218937,energy,1,baseline,20,0.892577483924,adam,0.00713582002473,0.00073108178565,0.001
186,100,0.482999145985,-1.66573791504,energy,6,baselinedet,1,0.890482965686,adadelta,0.981279975932,1e-08,0.1
187,10,0.631696522236,-1.25237186977,energy,3,baselinedet,2,0.858941739876,adam,0.923833365374,0.000105342291517,0.01
188,100,0.664392709732,-1.20396347046,energy,1,baselinedet,3,0.957318230759,rmsprop,0.955480723872,1.01791199709e-05,0.0001
189,10,1.05830097198,-0.648490360805,energy,3,baselinedet,4,0.963117866824,adam,0.868062801426,0.00013342121064,0.001
190,100,0.608076334,-1.38258863177,energy,1,baselinedet,8,0.890499733009,adadelta,0.940488548236,5e-05,0.1
191,100,0.778778970242,-1.0671875,energy,3,baselinedet,20,0.817721723127,adam,0.0041058849276,0.000435409298522,0.01
192,1,2.87501144409,2.91269789196,energy,2,planarflow,1,0.913693958598,adam,0.830267154644,0.000266786880691,0.001
193,1,2.43255734444,3.11833022147,energy,1,planarflow,2,0.802574888412,adam,0.00170506295622,0.00016183592544,0.0001
194,10,2.32966756821,2.46051404204,energy,2,planarflow,3,0.801062959819,adam,0.00621770522485,0.000133685560718,0.001
195,10,2.3181874752,7.58605665037,energy,3,planarflow,4,0.963117866824,adam,0.868062801426,0.00013342121064,0.001
