,best_val_error,best_val_loss,datasetname,modelname,n_normflows,opt_decay,opt_identifier,opt_momentum,opt_step_rate
201,8.08653068542,3.39469863644,powerplant,baselinedet,4,0.822465794563,adam,0.81184023975,0.001
202,8.01993083954,3.40842092563,powerplant,baselinedet,8,0.822465794563,adam,0.81184023975,0.001
203,8.18101501465,3.41074479318,powerplant,baselinedet,20,0.822465794563,adam,0.81184023975,0.001
204,8.89503669739,7.59218404465,powerplant,baselineplus,1,0.972426099398,adam,0.893157953082,0.1
205,11.2357273102,5.96971787691,powerplant,baselineplus,2,0.822465794563,adam,0.81184023975,0.001
206,8.50953674316,5.42927474563,powerplant,baselineplus,3,0.918582946022,rmsprop,0.00497246690821,0.01
207,8.34614849091,5.50607108627,powerplant,baselineplus,4,0.937634133118,adam,0.00227692082866,0.001
208,8.07677078247,4.66974901286,powerplant,baselineplus,8,0.822465794563,adam,0.81184023975,0.001
209,8.22867393494,6.1982597475,powerplant,baselineplus,20,0.822465794563,adam,0.81184023975,0.001
210,7.99495267868,3.43568282338,powerplant,baselinedetplus,1,0.822465794563,adam,0.81184023975,0.001
211,8.0397567749,3.36774857028,powerplant,baselinedetplus,2,0.946767059908,rmsprop,0.00572619189748,0.001
212,8.20790576935,3.4612538632,powerplant,baselinedetplus,3,0.918582946022,rmsprop,0.00497246690821,0.01
213,8.30968666077,3.44446962007,powerplant,baselinedetplus,4,0.937634133118,adam,0.00227692082866,0.001
214,8.29322814941,3.53775456333,powerplant,baselinedetplus,8,0.972426099398,adam,0.893157953082,0.1
215,8.25582695007,3.56593128036,powerplant,baselinedetplus,20,0.934125143078,adam,0.0076485879586,0.1
216,0.246989265084,1.79437415753,kin8nm,planarflowdet,1,0.953926194753,adam,0.00435394736543,0.01
217,0.0881829410791,0.684156526395,kin8nm,planarflowdet,2,0.988043649847,adam,0.0032993825343,0.001
218,0.206940203905,2.70558289181,kin8nm,planarflowdet,3,0.972426099398,adam,0.893157953082,0.1
219,0.124533466995,0.975854612108,kin8nm,planarflowdet,4,0.829611893513,rmsprop,0.0040930990225,0.01
220,0.31691417098,0.985720060188,kin8nm,planarflowdet,8,0.983554581891,rmsprop,0.911135788228,0.001
221,0.369609802961,3.11054985784,kin8nm,planarflowdet,20,0.972426099398,adam,0.893157953082,0.1
222,0.0871461927891,1.74405990642,kin8nm,radialflowdet,1,0.839135697624,rmsprop,0.00487890796763,0.01
223,0.0789329409599,0.224555367571,kin8nm,radialflowdet,2,0.974542020391,adam,0.89080604545,0.001
224,0.184060946107,1.51568345756,kin8nm,radialflowdet,3,0.972426099398,adam,0.893157953082,0.1
225,0.0819047912955,0.773556801814,kin8nm,radialflowdet,4,0.829611893513,rmsprop,0.0040930990225,0.01
226,0.0764524415135,0.215132398528,kin8nm,radialflowdet,8,0.983554581891,rmsprop,0.911135788228,0.001
227,inf,57004.838764,kin8nm,radialflowdet,20,0.972426099398,adam,0.893157953082,0.1
228,0.369440317154,3.75111318862,kin8nm,mixture,1,0.972426099398,adam,0.893157953082,0.1
229,0.108884640038,1.35583759504,kin8nm,mixture,2,0.974542020391,adam,0.89080604545,0.001
230,0.274707406759,3.28164609446,kin8nm,mixture,3,0.972426099398,adam,0.893157953082,0.1
231,0.137580379844,1.98635955232,kin8nm,mixture,4,0.937634133118,adam,0.00227692082866,0.001
232,0.133383125067,1.76478425313,kin8nm,mixture,8,0.983554581891,rmsprop,0.911135788228,0.001
233,0.661665976048,3.72283833546,kin8nm,mixture,20,0.972426099398,adam,0.893157953082,0.1
234,0.320622593164,352.708894117,kin8nm,radialflow,1,0.839135697624,rmsprop,0.00487890796763,0.01
235,0.555233359337,11.673973949,kin8nm,radialflow,2,0.974542020391,adam,0.89080604545,0.001
236,0.675913155079,141944.361001,kin8nm,radialflow,3,0.879320182305,adadelta,0.969514489555,0.1
237,0.55312693119,107.187872768,kin8nm,radialflow,4,0.829611893513,rmsprop,0.0040930990225,0.01
238,0.229690909386,1.64400939225,kin8nm,radialflow,8,0.972426099398,adam,0.893157953082,0.1
239,inf,inf,kin8nm,radialflow,20,0.972426099398,adam,0.893157953082,0.1
240,0.272075802088,1.64395243603,kin8nm,baseline,1,0.981344134654,adam,0.859238109766,0.0001
241,0.111563511193,1.43363053237,kin8nm,baseline,2,0.974542020391,adam,0.89080604545,0.001
242,0.270675957203,2.30530995384,kin8nm,baseline,3,0.972426099398,adam,0.893157953082,0.1
243,0.132031559944,1.8354970627,kin8nm,baseline,4,0.937634133118,adam,0.00227692082866,0.001
244,0.133281841874,1.54942459065,kin8nm,baseline,8,0.983554581891,rmsprop,0.911135788228,0.001
245,0.250543236732,2.82504843115,kin8nm,baseline,20,0.972426099398,adam,0.893157953082,0.1
246,0.277652382851,2.69077274147,kin8nm,planarflow,1,0.953926194753,adam,0.00435394736543,0.01
247,0.112723655999,1.50076900575,kin8nm,planarflow,2,0.974542020391,adam,0.89080604545,0.001
248,0.247220337391,3.63672232279,kin8nm,planarflow,3,0.972426099398,adam,0.893157953082,0.1
249,0.163067921996,1.95848732718,kin8nm,planarflow,4,0.937634133118,adam,0.00227692082866,0.001
